trial,matrix_type,n,m,k,m_over_n,k_over_m,noise_std,method,nrmse,precision,recall,f1,exact_support
23,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.669158255043155,0.375,0.375,0.375,0
23,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.594624786707516,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
23,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.3677636784055144,0.625,0.625,0.625,0
23,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.2628952641963394,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
23,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.27069012028128153,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
23,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.26687874511108733,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
23,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.26992965706243477,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
24,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.6819907483216915,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
24,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.47436701038196155,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
24,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.5109924760910447,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
24,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.2760738062337033,0.75,0.75,0.75,0
24,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.2649432116788942,0.75,0.75,0.75,0
24,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.29521758602746373,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
24,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.29521758602746395,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
25,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5513219797319994,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
25,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5645066312226934,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
25,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.4350781881449687,0.5,0.5,0.5,0
25,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.18030595834962868,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
25,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.42768730251568116,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
25,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.18864470977883022,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
25,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.20108888313525125,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
26,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5911384425865577,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
26,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.4312126486397623,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
26,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.3711573608281003,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
26,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.36353751155892483,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
26,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.3716766314269395,0.625,0.625,0.625,0
26,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.2480568096900575,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
26,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.24805680969005728,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
27,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.7046865929686574,0.375,0.375,0.375,0
27,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5209159122984809,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
27,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.23915571884964681,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
27,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.18486326856814406,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
