trial,matrix_type,coherence_strength,n,m,k,m_over_n,k_over_m,noise_std,signal_type,method,nrmse,precision,recall,f1,exact_support
11,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.37909690528944606,0.625,0.625,0.625,0
11,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.37909690528944606,0.625,0.625,0.625,0
12,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.440699082208676,0.5,0.5,0.5,0
12,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.3132651203397344,0.5,0.5,0.5,0
12,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.37735747736445674,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
12,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.3284188148051475,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
12,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.2920833264405923,0.625,0.625,0.625,0
12,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.2940656432810648,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
12,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.2940656432810649,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
13,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.7058251261375481,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
13,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.38945437265899197,0.5,0.5,0.5,0
13,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.5169355344482038,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
13,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.1881174890921966,0.75,0.75,0.75,0
13,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.19787942048369986,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
13,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.21901042043042265,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
13,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.2190104204304226,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
14,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.5183048841556251,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
14,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.36366499357328197,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
14,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.5044294728005551,0.375,0.375,0.375,0
14,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.23752581443222034,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
14,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.22020536127250578,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
14,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.2108765728298145,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
14,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.2108765728298143,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
15,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.703553103034586,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
15,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.3813861124577129,0.5,0.5,0.5,0
15,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.3300128212249748,0.625,0.625,0.625,0
15,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.20108543231795192,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
15,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.2136576686457675,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
15,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.21611810254239644,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
15,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.21104418103594655,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
16,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.6328789629011988,0.5,0.5,0.5,0
16,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.39265789238127186,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
16,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.4499669537353525,0.625,0.625,0.625,0
16,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.17987595088047634,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
16,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.19813309888048244,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
16,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.1740801833844516,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
16,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.1621400360777997,0.875,0.875,0.875,0
17,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.7156224859081107,0.375,0.375,0.375,0
17,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.5518522139822738,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
17,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.6720596940048251,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
17,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.19318093209859333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
17,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.24291827339730906,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
17,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.18582892235952364,0.875,0.875,0.875,0
17,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.18582892235952386,0.875,0.875,0.875,0
18,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.5433874603849712,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
18,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.45835899243711314,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
18,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.5193346569980608,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
18,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.31726304312544695,0.625,0.625,0.625,0
18,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.24298999932148635,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
18,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.2454838655500149,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
18,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.253059229345515,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
19,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.7003817746235168,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
19,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.5927810288983687,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
19,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.44693247937099256,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
19,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.1720709366255378,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
19,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.20309351591344407,0.75,0.75,0.75,0
19,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.1425571269591456,0.875,0.875,0.875,0
19,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.1425571269591462,0.875,0.875,0.875,0
20,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.6909415654565478,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
20,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.3646176638425538,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
20,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.28631124705657146,0.75,0.75,0.75,0
20,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.31390166550335113,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
20,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.30173268204478565,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
20,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.2765357978534671,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
20,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.2765357978534677,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
21,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.6333649422708993,0.2916666666666667,0.2916666666666667,0.2916666666666667,0
