trial,method,n,m,k,noise_std,matrix_type,nrmse,precision,recall,f1,exact_support
21,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.07414286051956585,0.8909090909090909,0.8909090909090909,0.8909090909090909,0
21,CoSaMP,256,128,55,0.01,gaussian,0.4443859834704275,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
22,CorrelationTopK,256,128,55,0.01,gaussian,0.6174807295154303,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
22,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6311871064692475,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
22,OMP,256,128,55,0.01,gaussian,0.025122635341546323,0.9272727272727272,0.9272727272727272,0.9272727272727272,0
22,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.02119559989638613,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
22,CoSaMP,256,128,55,0.01,gaussian,0.37455787490678266,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
23,CorrelationTopK,256,128,55,0.01,gaussian,0.7582579032146306,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
23,LearnedSupportMLP,256,128,55,0.01,gaussian,0.7527072395990272,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
23,OMP,256,128,55,0.01,gaussian,0.5004317292678265,0.6,0.6,0.6,0
23,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.4873236823303397,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
23,CoSaMP,256,128,55,0.01,gaussian,0.4336053702680582,0.6545454545454545,0.6545454545454545,0.6545454545454545,0
24,CorrelationTopK,256,128,55,0.01,gaussian,0.7190150938106195,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
24,LearnedSupportMLP,256,128,55,0.01,gaussian,0.619839389236292,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
24,OMP,256,128,55,0.01,gaussian,0.16419482452454268,0.7818181818181819,0.7818181818181819,0.7818181818181819,0
24,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.16795925779830925,0.7818181818181819,0.7818181818181819,0.7818181818181819,0
24,CoSaMP,256,128,55,0.01,gaussian,0.5433305530919688,0.6,0.6,0.6,0
25,CorrelationTopK,256,128,55,0.01,gaussian,0.7259524062744408,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
