method,n,m,k,noise_std,matrix_type,signal_type,nrmse,precision,recall,f1,exact_support,trial
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.31858954131487793,0.65625,0.65625,0.65625,0,11
OMP,256,128,32,0.01,coherent,sparse,0.011935028587634755,1.0,1.0,1.0,1,12
CoSaMP,256,128,32,0.01,coherent,sparse,0.018014046587010873,0.9375,0.9375,0.9375,0,12
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.515792053992454,0.6875,0.6875,0.6875,0,12
OMP,256,128,32,0.01,coherent,sparse,0.013364014166102457,0.96875,0.96875,0.96875,0,13
CoSaMP,256,128,32,0.01,coherent,sparse,0.013105156957293154,0.96875,0.96875,0.96875,0,13
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.36955471038347376,0.71875,0.71875,0.71875,0,13
OMP,256,128,32,0.01,coherent,sparse,0.010775722805125275,0.96875,0.96875,0.96875,0,14
CoSaMP,256,128,32,0.01,coherent,sparse,0.0123754619920848,0.96875,0.96875,0.96875,0,14
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.5411114714280438,0.65625,0.65625,0.65625,0,14
OMP,256,128,32,0.01,coherent,sparse,0.014996198182129777,0.96875,0.96875,0.96875,0,15
CoSaMP,256,128,32,0.01,coherent,sparse,0.01465170280468088,0.96875,0.96875,0.96875,0,15
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.4126329263770552,0.53125,0.53125,0.53125,0,15
OMP,256,128,32,0.01,coherent,sparse,0.01378082851975451,1.0,1.0,1.0,1,16
CoSaMP,256,128,32,0.01,coherent,sparse,0.022622879677851933,0.9375,0.9375,0.9375,0,16
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.34745498787832035,0.78125,0.78125,0.78125,0,16
OMP,256,128,32,0.01,coherent,sparse,0.010501123673685728,0.96875,0.96875,0.96875,0,17
CoSaMP,256,128,32,0.01,coherent,sparse,0.010082788065192728,0.96875,0.96875,0.96875,0,17
